aqi,pm25,pm10,co,no2,o3,t,h,p,w,temp_sensor,humidity_sensor,mq135_raw
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,939.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,940.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,940.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,939.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,939.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,939.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,937.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,937.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,941.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,938.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,937.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,936.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,935.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,935.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,933.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,932.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,933.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,927.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,927.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,927.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,927.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,927.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,927.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,926.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,927.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,925.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,925.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,927.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,925.0
65,65,78.0,0.1,21.8,98.3,34.0,71.0,1001,2.0,33.6,68.9,925.0
65,65,78.0,0.1,21.8,98.3,34.0,71.0,1001,2.0,33.6,68.9,925.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,925.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,925.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,925.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,925.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,924.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,922.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,925.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,922.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,921.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,923.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,921.0
65,65,78.0,0.1,21.75,98.1,34.0,71.0,1001,2.0,33.5,68.9,923.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,921.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,920.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,920.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,919.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,920.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,919.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,920.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,917.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,919.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,917.0
65,65,78.0,0.1,21.8,98.4,34.0,71.0,1001,2.0,33.6,68.8,917.0
65,65,78.0,0.1,21.8,98.4,34.0,71.0,1001,2.0,33.6,68.8,917.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,914.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,915.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,915.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,914.0
65,65,78.0,0.1,21.75,98.3,34.0,71.0,1001,2.0,33.5,68.7,911.0
65,65,78.0,0.1,21.75,98.3,34.0,71.0,1001,2.0,33.5,68.7,910.0
65,65,78.0,0.1,21.75,98.3,34.0,71.0,1001,2.0,33.5,68.7,911.0
65,65,78.0,0.1,21.75,98.3,34.0,71.0,1001,2.0,33.5,68.7,910.0
65,65,78.0,0.1,21.8,98.5,34.0,71.0,1001,2.0,33.6,68.7,911.0
65,65,78.0,0.1,21.8,98.5,34.0,71.0,1001,2.0,33.6,68.7,909.0
65,65,78.0,0.1,21.8,98.5,34.0,71.0,1001,2.0,33.6,68.7,909.0
65,65,78.0,0.1,21.8,98.5,34.0,71.0,1001,2.0,33.6,68.7,908.0
65,65,78.0,0.1,21.8,98.60000000000001,34.0,71.0,1001,2.0,33.6,68.6,908.0
65,65,78.0,0.1,21.8,98.60000000000001,34.0,71.0,1001,2.0,33.6,68.6,908.0
65,65,78.0,0.1,21.85,98.80000000000001,34.0,71.0,1001,2.0,33.7,68.6,908.0
65,65,78.0,0.1,21.85,98.80000000000001,34.0,71.0,1001,2.0,33.7,68.6,907.0
65,65,78.0,0.1,21.85,98.80000000000001,34.0,71.0,1001,2.0,33.7,68.6,907.0
65,65,78.0,0.1,21.85,98.80000000000001,34.0,71.0,1001,2.0,33.7,68.6,905.0
65,65,78.0,0.1,21.85,98.9,34.0,71.0,1001,2.0,33.7,68.5,905.0
65,65,78.0,0.1,21.85,98.9,34.0,71.0,1001,2.0,33.7,68.5,905.0
65,65,78.0,0.1,21.85,98.9,34.0,71.0,1001,2.0,33.7,68.5,905.0
65,65,78.0,0.1,21.85,98.9,34.0,71.0,1001,2.0,33.7,68.5,905.0
65,65,78.0,0.1,21.85,98.9,34.0,71.0,1001,2.0,33.7,68.5,905.0
