local_time,timestamp,aqi,pm25,pm10,co,no2,o3,t,h,p,w
2025-07-16 16:49:24,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 16:49:34,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 16:49:45,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 16:49:55,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 16:50:06,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 16:50:17,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 16:50:27,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 16:50:38,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 16:50:48,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 16:50:59,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 16:51:09,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 16:51:19,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 16:51:30,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 16:51:40,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 16:51:51,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 16:52:01,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 16:52:12,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 16:52:22,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 16:52:33,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 16:52:43,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 16:52:54,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 16:53:04,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 16:53:14,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 16:53:25,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 16:53:35,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
